theme,prompt,done
デカ文字！クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Highly exaggerated joy, wide smile, huge bold brush font text '了解' integrated nearby"" | TEXT=""了解""
P2: ACTION/PROPS=""Bust shot, bowing deeply, paws together, thick impact font text 'お疲れ様' near head"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Big heart eyes, blushing cheeks, rounded friendly pop font text 'ありがとう' around face"" | TEXT=""ありがとう""
P4: ACTION/PROPS=""Double thumbs up, confident wink, dynamic italic bold font text 'まかせて' beside arms"" | TEXT=""まかせて""
P5: ACTION/PROPS=""Crying fountain tears, mouth wide open, shaky hand-drawn font text 'ごめん' above head"" | TEXT=""ごめん""
P6: ACTION/PROPS=""Head tilted, giant question mark, chunky block font text 'なに？' floating nearby"" | TEXT=""なに？""
P7: ACTION/PROPS=""Peaceful closed eyes, tiny drool, soft fluffy font text 'おやすみ' near cheek"" | TEXT=""おやすみ""
P8: ACTION/PROPS=""Waving paws vigorously, excited face, energetic loud font text 'おはよー' around torso"" | TEXT=""おはよー""
P9: ACTION/PROPS=""Serious eyes, small sweat drop, sharp gothic font text 'おっけー' beside face"" | TEXT=""おっけー""",1
デカ文字！クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Holding huge tea cup, zen face, calm traditional font text '了解です' floating in steam"" | TEXT=""了解です""
P2: ACTION/PROPS=""Exhausted eyes, tongue out, melting messy font text 'お疲れ様' sliding down"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Clapping paws, musical notes, rhythmic bouncy font text 'サンキュー' above head"" | TEXT=""サンキュー""
P4: ACTION/PROPS=""Nodding head intensely, closed eyes, solid heavy font text 'うんうん' repeating nearby"" | TEXT=""うんうん""
P5: ACTION/PROPS=""Hiding face behind paws, blushing, cute cursive font text '照れる' peeking out"" | TEXT=""照れる""
P6: ACTION/PROPS=""Looking away, whistling, transparent hollow font text 'しらん' beside face"" | TEXT=""しらん""
P7: ACTION/PROPS=""Pointing finger up, smug smirk, elegant serif font text 'さすが' near finger"" | TEXT=""さすが""
P8: ACTION/PROPS=""Shocked wide eyes, jaw dropped, jagged electric font text 'まじで？' surrounding face"" | TEXT=""まじで？""
P9: ACTION/PROPS=""Hugging soft pillow, sleepy eyes, dreamy rounded font text 'ねるね' on pillow"" | TEXT=""ねるね""",1
デカ文字！クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Huge grin, stars in eyes, glittery disco font text 'おっけ' floating in air"" | TEXT=""おっけ""
P2: ACTION/PROPS=""Leaning forward, hand to ear, bold sans-serif font text 'お疲れ様' framed near ear"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Shedding dramatic tear, touched look, glowing divine font text '神すぎる' above head"" | TEXT=""神すぎる""
P4: ACTION/PROPS=""Crossed arms, stubborn pout, heavy weighted font text 'やだ' stamped beside body"" | TEXT=""やだ""
P5: ACTION/PROPS=""Fire in eyes, clenched teeth, hot flaming font text 'やるぞ' burning around head"" | TEXT=""やるぞ""
P6: ACTION/PROPS=""Holding giant phone, tapping fast, digital pixel font text '返信中' on screen area"" | TEXT=""返信中""
P7: ACTION/PROPS=""Exploding head effect, dizzy eyes, distorted glitch font text 'むり' near head"" | TEXT=""むり""
P8: ACTION/PROPS=""Party popper exploding, joyful face, colorful comic font text 'おめ！' in confetti"" | TEXT=""おめ！""
P9: ACTION/PROPS=""Glowing cheeks, holding flower, soft watercolor font text '感謝' near heart"" | TEXT=""感謝""",1
デカ文字！クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Giving salute, sharp expression, stencil military font text '了解！' beside shoulder"" | TEXT=""了解！""
P2: ACTION/PROPS=""Tired bags under eyes, deep sigh, thin drooping font text 'お疲れ様' falling down"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Hands together in prayer, hopeful face, clean gothic font text 'おねがい' above paws"" | TEXT=""おねがい""
P4: ACTION/PROPS=""Sinister grin, shadowy face, creepy horror font text 'にやり' in the shadows"" | TEXT=""にやり""
P5: ACTION/PROPS=""Holding giant 'X' sign, stern face, thick red warning font text 'だめ' on the sign"" | TEXT=""だめ""
P6: ACTION/PROPS=""Chewing leaf, blank stare, round bubble font text 'もぐもぐ' near mouth"" | TEXT=""もぐもぐ""
P7: ACTION/PROPS=""Offering gold medal, proud face, shiny metallic font text '優勝' on medal"" | TEXT=""優勝""
P8: ACTION/PROPS=""Using magnifying glass, squinting, tiny micro font text 'どこ？' inside lens"" | TEXT=""どこ？""
P9: ACTION/PROPS=""Jumping high, ecstatic face, speed line font text 'きたー！' shooting upward"" | TEXT=""きたー！""",1
デカ文字！クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Thumb to forehead, suave look, ultra-cool minimalist font text 'りょ' near eyes"" | TEXT=""りょ""
P2: ACTION/PROPS=""Holding 'Good Job' sign, warm smile, friendly crayon font text 'お疲れ様' on sign"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Blowing heart kiss, winking, romantic script font text 'らぶ' inside a heart"" | TEXT=""らぶ""
P4: ACTION/PROPS=""Covering mouth, giggling, light playful font text 'うふふ' floating around"" | TEXT=""うふふ""
P5: ACTION/PROPS=""Big puppy dog eyes, begging look, wide watery font text 'いい？' below chin"" | TEXT=""いい？""
P6: ACTION/PROPS=""Pointing paws to side, guide face, bold arrow-shaped font text 'あっち' near paws"" | TEXT=""あっち""
P7: ACTION/PROPS=""Wearing sunglasses, nonchalant look, flat modern font text '余裕' above sunglasses"" | TEXT=""余裕""
P8: ACTION/PROPS=""Collapsing forward, spiral eyes, crushed heavy font text 'がふっ' hitting floor area"" | TEXT=""がふっ""
P9: ACTION/PROPS=""Heart floating above head, bliss, pink jelly font text 'すき' near heart"" | TEXT=""すき""",1
デカ文字！クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Holding giant green checkmark, proud face, clean corporate font text '完了' on checkmark"" | TEXT=""完了""
P2: ACTION/PROPS=""Wiping sweat, relieved face, refreshing breezy font text 'お疲れ様' near forehead"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Bowing with paws out, apologetic, low-positioned humble font text 'すまん' near paws"" | TEXT=""すまん""
P4: ACTION/PROPS=""Looking side-eyed, suspicious, narrow condensed font text 'じーっ' trailing from eyes"" | TEXT=""じーっ""
P5: ACTION/PROPS=""Holding warm mug, cozy scarf, warm chunky knit font text 'ほっこり' in steam"" | TEXT=""ほっこり""
P6: ACTION/PROPS=""Facepalm with paw, disappointed, bold impact font text 'まじか' stamped on head"" | TEXT=""まじか""
P7: ACTION/PROPS=""Holding giant red heart, loving look, big balloon font text 'ありがと' on heart"" | TEXT=""ありがと""
P8: ACTION/PROPS=""Bright light in eyes, inspired face, glowing neon font text '名案' above head"" | TEXT=""名案""
P9: ACTION/PROPS=""Waving white flag, defeated look, faded ghost font text '負けました' near flag"" | TEXT=""負けました""",1
デカ文字！クオッカ省エネスタンプ２,"P1: ACTION/PROPS=""Quokka giving a big double thumbs up, sparkling eyes, radiant and happy expression"" | TEXT=""了解です"" P2: ACTION/PROPS=""Quokka bowing with paws pressed together, closing eyes in gratitude"" | TEXT=""感謝"" P3: ACTION/PROPS=""Quokka slumped with a tired face, small swirl on cheek, exhausted smile"" | TEXT=""お疲れ様"" P4: ACTION/PROPS=""Quokka resting chin on paws, looking up with curious and big eyes"" | TEXT=""まだかな"" P5: ACTION/PROPS=""Quokka holding a giant gift box, beaming with a wide happy mouth"" | TEXT=""おめでとう"" P6: ACTION/PROPS=""Quokka with a serious face, holding a magnifying glass prop"" | TEXT=""調査中"" P7: ACTION/PROPS=""Quokka crying with large cartoon tears, exaggerated pouty mouth"" | TEXT=""ごめんね"" P8: ACTION/PROPS=""Quokka crossing arms firmly, looking away with a grumpy face"" | TEXT=""いやだ"" P9: ACTION/PROPS=""Quokka waving with a gentle and warm smile, sleepy half-closed eyes"" | TEXT=""またね""",1
デカ文字！クオッカ省エネスタンプ２,"P1: ACTION/PROPS=""Quokka pointing at self with a confident grin, shining background effect"" | TEXT=""まかせろ"" P2: ACTION/PROPS=""Quokka clutching a heart-shaped pillow, blushing cheeks, eyes closed in bliss"" | TEXT=""最高"" P3: ACTION/PROPS=""Quokka running with a determined face, sweat drops flying back"" | TEXT=""向かってます"" P4: ACTION/PROPS=""Quokka gasping with paws on cheeks, extremely shocked wide eyes"" | TEXT=""ええっ"" P5: ACTION/PROPS=""Quokka wrapped in a fluffy blanket, looking cozy and relaxed"" | TEXT=""ぬくぬく"" P6: ACTION/PROPS=""Quokka winking and giving a small peace sign, playful expression"" | TEXT=""おけまる"" P7: ACTION/PROPS=""Quokka hanging head low, grey shadow over face, depressed look"" | TEXT=""しょぼん"" P8: ACTION/PROPS=""Quokka with a lightbulb glowing above head, excited and inspired grin"" | TEXT=""なるほど"" P9: ACTION/PROPS=""Quokka holding a tray with a cake, offering it with a sweet smile"" | TEXT=""どうぞ""",1
デカ文字！クオッカ省エネスタンプ２,"P1: ACTION/PROPS=""Quokka clapping with high energy, musical notes floating around"" | TEXT=""さすが"" P2: ACTION/PROPS=""Quokka tilting head with a confused look, holding a large question mark"" | TEXT=""なんで？"" P3: ACTION/PROPS=""Quokka leaning on an invisible wall, looking cool and confident"" | TEXT=""余裕"" P4: ACTION/PROPS=""Quokka puffing out chest and cheeks, angry but cute expression"" | TEXT=""むかっ"" P5: ACTION/PROPS=""Quokka jumping with joy, paws spread wide, huge laughing mouth"" | TEXT=""わーい"" P6: ACTION/PROPS=""Quokka peeking from behind a large leaf, curious and shy eyes"" | TEXT=""のぞき"" P7: ACTION/PROPS=""Quokka covering face with one paw, blushing hard, shy smile"" | TEXT=""はずかしい"" P8: ACTION/PROPS=""Quokka looking blankly with dot eyes, soul leaving mouth slightly"" | TEXT=""無の境地"" P9: ACTION/PROPS=""Quokka holding a giant pen and notebook, nodding seriously"" | TEXT=""了解""",1
デカ文字！クオッカ省エネスタンプ２,"P1: ACTION/PROPS=""Quokka giving a small polite nod, calm and reliable smile"" | TEXT=""はい"" P2: ACTION/PROPS=""Quokka sweating profusely, rubbing back of head with a sheepish grin"" | TEXT=""すみません"" P3: ACTION/PROPS=""Quokka with fire in eyes, clenched fists, highly motivated expression"" | TEXT=""やるぞ"" P4: ACTION/PROPS=""Quokka squinting suspiciously, looking sideways with a doubtful face"" | TEXT=""怪しい"" P5: ACTION/PROPS=""Quokka pointing at a large clock prop, frantic and panicked eyes"" | TEXT=""時間です"" P6: ACTION/PROPS=""Quokka laughing uncontrollably, rolling slightly, wide open mouth"" | TEXT=""爆笑"" P7: ACTION/PROPS=""Quokka shivering with a blue face, chattering teeth expression"" | TEXT=""ぶるぶる"" P8: ACTION/PROPS=""Quokka with sparkling eyes looking at something amazing, jaw dropped"" | TEXT=""神"" P9: ACTION/PROPS=""Quokka holding a green checkmark sign, smiling happily"" | TEXT=""おっけ""",1
